,outcome_profit,outcome_damage_inc,outcome_damage_amount,income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,gluten_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,prev_stay,prev_all_in_stay,divorce,fam_adult_size,children_no,tenure_mts,tenure_yrs,company_ic,claims_no,claims_am,nights_booked,shop_am,shop_use,retired,gold_status,score1_pos,score1_neg,score2_pos,score2_neg,score3_pos,score3_neg,score4_pos,score4_neg,score5_pos,score5_neg,gender_M,client_segment_0.0,client_segment_1.0,client_segment_2.0,client_segment_3.0,client_segment_4.0,sect_empl_0.0,sect_empl_1.0,sect_empl_2.0,sect_empl_3.0,sect_empl_4.0,profitpernight
0,1791.66,0,0.0,-0.25220398216520423,-0.2357155430667958,-0.08088242295506477,1.301738404331783,6.332495592233695,2.5669102143283484,0,0,0,0,1,0,-0.9839387218207035,1,-0.7277475881452745,1,-0.5747366261036371,-0.48491604231132174,0,1,0,0,1,1,0,1.2888438883533815,1.9354126657466821,1.3740073662537635,1.3984651029657071,0,-0.30462002643993075,-0.06699873325306355,4.777023334371889,-0.3014371924338569,0,0,0,-0.23510748017493224,3.2408569718579363,-7.853804045339587e-16,7.500248261744675e-16,-3.785954562709307e-16,3.6561510977639585e-16,2.3601800645271136,-2.812824429876306,0.0,-5.1557972663975215e-16,1,0,1,0,0,0,0,1,0,0,0,-0.4466162890477378
1,1672.78,1,829.66,-0.24723478550084574,-0.2302523250622837,-0.34797153015324367,-0.25693802055886733,-0.39861497446230854,-0.5612894726326209,0,0,0,1,1,0,0.3122378329081417,1,-0.527791499186429,0,-2.4132304563987543,-1.6586407613982934,0,0,0,0,0,0,0,-1.1992487820872835,-0.46068676326712227,-1.6738531956111289,-1.6945656931379143,0,-0.30462002643993075,-0.06699873325306355,-0.6625593719538971,-0.3014371924338569,0,0,0,0.0,7.448482714337655e-16,-7.853804045339587e-16,7.500248261744675e-16,-3.785954562709307e-16,3.6561510977639585e-16,-3.872809172297254e-16,0.0,0.0,1.6234104538332745,1,0,1,0,0,0,1,0,0,0,0,-0.11569966604765015
2,1001.4,0,0.0,-0.2454167867212024,-0.2278621671853097,-0.3495540199259781,-0.25693802055886733,-0.39861497446230854,-0.5612894726326209,0,0,0,1,0,0,-1.6320269991851262,1,-0.32783541022758356,0,-0.03257436135505256,-1.473315805752982,0,1,0,0,1,0,0,-1.1992487820872835,-0.46068676326712227,-1.2122618410302541,-1.2061924095426058,0,-0.30462002643993075,-0.06699873325306355,-0.609490272379987,-0.3014371924338569,0,0,0,0.0,7.448482714337655e-16,-1.8848476305747648,-2.6996385511050733,-3.785954562709307e-16,3.6561510977639585e-16,-3.872809172297254e-16,0.0,-2.739121867329282,-1.9827394529720745,1,0,1,0,0,0,1,0,0,0,0,-0.23139976912944998
3,1785.59,0,0.0,-0.25220398216520423,-0.2357155430667958,-0.3474440335623322,-0.25693802055886733,-0.39861497446230854,-0.7259315614200403,0,0,0,0,0,0,-0.011806305774069572,1,0.47198894560779836,1,-0.0775546377445922,-0.48491604231132174,0,1,0,0,1,0,0,1.2888438883533815,1.9354126657466821,0.0,-2.8917507416496154e-16,0,-0.30462002643993075,-0.06699873325306355,-0.6625593719538971,-0.3014371924338569,0,0,0,0.0,7.448482714337655e-16,-7.853804045339587e-16,7.500248261744675e-16,-3.785954562709307e-16,2.5849626160840593,-3.872809172297254e-16,0.0,0.0,-5.1557972663975215e-16,0,0,1,0,0,0,1,0,0,0,0,-0.11508713609015828
4,3140.74,0,0.0,0.21611250347092187,0.1152962137231055,-0.04149601083367434,1.1209459811744216,1.8450885477696928,2.347387429278456,0,0,1,0,1,0,-0.6598945831384923,0,-0.7277475881452745,1,-0.47443060975496365,-1.1644408796774632,0,1,0,0,1,0,0,0.044797553133049006,-0.46068676326712227,0.5458581712704297,0.5845096303068594,0,-0.30462002643993075,-0.06699873325306355,-0.6890939217408522,0.7826418758263815,1,0,0,0.0,7.448482714337655e-16,-7.853804045339587e-16,7.500248261744675e-16,-1.1175278582158004,1.771561178243825,-0.06532347749587651,0.2800812267955166,0.0,-5.1557972663975215e-16,0,0,0,1,0,0,1,0,0,0,0,0.4732819175228767
5,4318.76,0,0.0,0.33937282073074077,-0.13703616786029632,0.4605049115170833,-0.25693802055886733,-0.39861497446230854,-0.7259315614200403,0,0,0,0,0,0,-0.9839387218207035,0,0.0720767676901074,0,-0.7719001709444525,2.4185082627985555,0,1,0,0,1,0,0,-1.1992487820872835,-0.46068676326712227,0.5187057386480253,0.5031140830409746,0,-0.30462002643993075,-0.06699873325306355,-0.6625593719538971,-0.3014371924338569,0,1,1,0.0,7.448482714337655e-16,-7.853804045339587e-16,7.500248261744675e-16,-0.4998906726088447,0.5738121908132245,2.6020249876924537,1.1258161017583568,0.0,-5.1557972663975215e-16,0,0,0,1,0,0,1,0,0,0,0,0.8231045821349067
6,1676.75,1,888.09,1.3313941548227937,-0.22615491155889966,1.9417153387965165,-0.25693802055886733,-0.39861497446230854,2.5669102143283484,0,1,1,1,1,0,0.636281971590353,1,2.4715498351962535,0,0.10341600759598897,0.07105882462461224,0,1,0,0,1,1,0,1.2888438883533815,1.9354126657466821,0.3422149266023968,0.3403229885092051,0,-0.30462002643993075,-0.06699873325306355,1.4071355114285973,-0.3014371924338569,0,0,1,0.45556426360874086,2.3215922529016217,0.6856500295335192,2.7195454277618443,-3.785954562709307e-16,3.6561510977639585e-16,-3.872809172297254e-16,0.0,0.0,-5.1557972663975215e-16,1,0,0,0,1,0,1,0,0,0,0,-0.31267535660564916
7,1127.05,0,0.0,-0.25220398216520423,-0.2357155430667958,-0.35887312636541424,-0.25693802055886733,-0.39861497446230854,-0.7259315614200403,0,0,0,0,0,0,2.878090110078547e-16,1,0.6719450345666438,0,-0.5520965536542355,0.6888086767756499,0,1,0,0,1,0,0,0.044797553133049006,-0.46068676326712227,0.0,-2.8917507416496154e-16,0,-0.30462002643993075,-0.06699873325306355,-0.6625593719538971,-0.3014371924338569,0,0,0,0.0,7.448482714337655e-16,-7.853804045339587e-16,7.500248261744675e-16,-3.785954562709307e-16,3.6561510977639585e-16,-3.872809172297254e-16,0.0,0.0,-5.1557972663975215e-16,0,1,0,0,0,0,1,0,0,0,0,-0.12835861850248237
8,1640.31,0,0.0,-0.25196158232791843,0.04085986841162838,-0.35887312636541424,-0.25693802055886733,-0.39861497446230854,-0.7259315614200403,0,0,0,1,0,0,-0.9839387218207035,1,0.0720767676901074,0,0.11076278607294711,-0.7320159831717368,0,1,0,0,0,0,0,0.044797553133049006,-0.46068676326712227,-1.8503440076567572,-1.857356787669684,0,-0.30462002643993075,-0.06699873325306355,-0.6625593719538971,-0.3014371924338569,0,0,0,0.0,7.448482714337655e-16,-7.853804045339587e-16,7.500248261744675e-16,-3.785954562709307e-16,3.6561510977639585e-16,-3.872809172297254e-16,0.0,0.0,1.0077123494157614,1,1,0,0,0,0,1,0,0,0,0,-0.12835861850248237
9,1861.78,1,981.64,-0.25196158232791843,0.04085986841162838,-0.35887312636541424,-0.25693802055886733,-0.39861497446230854,-0.7259315614200403,0,0,0,1,0,0,0.636281971590353,1,0.0720767676901074,0,-0.15761952971797277,-0.979115924032152,0,1,0,0,1,0,0,0.044797553133049006,-0.46068676326712227,-0.8728564332501995,-0.8806102204790666,0,-0.30462002643993075,-0.06699873325306355,-0.6625593719538971,-0.3014371924338569,0,0,0,0.0,7.448482714337655e-16,-7.853804045339587e-16,7.500248261744675e-16,-2.032320716354277,-1.177100700685665,-3.872809172297254e-16,0.0,0.0,-5.1557972663975215e-16,1,0,1,0,0,0,1,0,0,0,0,-0.12835861850248237
